date	weight	before_breakfast	after_toilet
17-Jan-2021	94	FALSE	FALSE
24-Jan-2021	95	FALSE	FALSE
31-Jan-2021	95.3	FALSE	FALSE
7-Feb-2021	94.8	FALSE	FALSE
14-Feb-2021	95.9	FALSE	FALSE
21-Feb-2021	95.6	FALSE	FALSE
26-Feb-2021	95.8	FALSE	FALSE
27-Feb-2021	95.9	TRUE	TRUE
27-Feb-2021	96.3	TRUE	FALSE
28-Feb-2021	95.9	TRUE	FALSE
1-Mar-2021	96	TRUE	TRUE
3-Mar-2021	96	TRUE	TRUE
6-Mar-2021	95.8	TRUE	TRUE
12-Mar-2021	96.4	TRUE	FALSE
15-Mar-2021	96.8	FALSE	FALSE
16-Mar-2021	96.9	TRUE	TRUE
17-Mar-2021	97.8	TRUE	TRUE
20-Mar-2021	97.4	TRUE	FALSE
22-Mar-2021	97.7	TRUE	FALSE
22-Mar-2021	97.4	TRUE	TRUE
24-Mar-2021	98.1	TRUE	FALSE
27-Mar-2021	98.2	TRUE	TRUE
29-Mar-2021	97.8	TRUE	TRUE
30-Mar-2021	97.8	TRUE	TRUE
3-Apr-2021	97.3	TRUE	TRUE
8-Apr-2021	98.1	FALSE	FALSE
11-Apr-2021	97.5	TRUE	FALSE
13-Apr-2021	97.3	TRUE	FALSE
16-Apr-2021	97	TRUE	TRUE
18-Apr-2021	97	TRUE	FALSE
19-Apr-2021	96.6	TRUE	TRUE
21-Apr-2021	97.9	FALSE	FALSE
23-Apr-2021	96.2	TRUE	TRUE
25-Apr-2021	96.6	TRUE	FALSE
26-Apr-2021	96	TRUE	TRUE
28-Apr-2021	95.7	TRUE	TRUE
2-May-2021	96	TRUE	FALSE
5-May-2021	95	TRUE	FALSE
8-May-2021	93.9	TRUE	TRUE
14-May-2021	95	TRUE	FALSE
17-May-2021	93.4	TRUE	TRUE
20-May-2021	94	TRUE	FALSE
22-May-2021	94	TRUE	FALSE
19-Jun-2021	91.8	TRUE	TRUE
21-Jun-2021	91	TRUE	FALSE
24-Jun-2021	90.7	TRUE	FALSE
28-Jun-2021	90.2	TRUE	FALSE
30-Jun-2021	90.2	TRUE	FALSE
1-Jul-2021	90	TRUE	FALSE
3-Jul-2021	90	TRUE	FALSE
5-Jul-2021	89.6	TRUE	TRUE
14-Jul-2021	88	TRUE	TRUE
16-Jul-2021	88.9	TRUE	FALSE
18-Jul-2021	88.8	TRUE	FALSE
23-Jul-2021	88.1	TRUE	FALSE
26-Jul-2021	88.3	TRUE	FALSE
1-Aug-2021	88.4	TRUE	FALSE
2-Aug-2021	87.8	TRUE	FALSE
3-Aug-2021	87.7	TRUE	FALSE
6-Aug-2021	89	TRUE	FALSE
8-Aug-2021	87.6	TRUE	FALSE
9-Aug-2021	87.3	TRUE	FALSE
10-Aug-2021	87.7	TRUE	FALSE
13-Aug-2021	87.7	TRUE	FALSE
14-Aug-2021	87.5	TRUE	FALSE
15-Aug-2021	86.9	TRUE	FALSE
16-Aug-2021	87.4	TRUE	FALSE
17-Aug-2021	87.4	TRUE	FALSE
31-Aug-2021	86.5	TRUE	TRUE
1-Sep-2021	86.5	TRUE	TRUE
2-Sep-2021	86	TRUE	TRUE
3-Sep-2021	87.6	FALSE	FALSE
4-Sep-2021	86.7	TRUE	FALSE
4-Sep-2021	86.5	TRUE	TRUE
5-Sep-2021	87.3	FALSE	FALSE
6-Sep-2021	86.8	TRUE	FALSE
7-Sep-2021	86.8	TRUE	TRUE